species,Lon,Lat
Huperzia_javanica,120.7,23
Huperzia_javanica,120.7,23.5
Huperzia_javanica,120.700216,23.42688
Huperzia_javanica,120.700684,23.470783
Huperzia_javanica,120.702008,22.450554
Huperzia_somae,120.702743,23.406046
Huperzia_javanica,120.704347,22.416185
Huperzia_javanica,120.706398,23.60045
Huperzia_javanica,120.706441,22.575734
Huperzia_javanica,120.706525,22.50759
Huperzia_javanica,120.707778,22.915278
Huperzia_javanica,120.71014,23.563732
Huperzia_javanica,120.710287,23.483292
Huperzia_javanica,120.711818,23.487271
Huperzia_javanica,120.714772,23.653918
Huperzia_somae,120.714956,23.498346
Huperzia_javanica,120.715142,23.523569
Huperzia_javanica,120.715281,22.569375
Huperzia_javanica,120.715864,23.555839
Huperzia_javanica,120.716432,23.038033
Huperzia_javanica,120.716667,22.425
Huperzia_javanica,120.716667,22.616667
Huperzia_quasipolytrichoides,120.716667,22.616667
Huperzia_javanica,120.716667,23
Huperzia_javanica,120.718125,23.531073
Huperzia_javanica,120.719358,23.497539
Huperzia_javanica,120.721141,23.487716
Huperzia_javanica,120.724196,23.462837
Huperzia_javanica,120.731404,23.460472
Huperzia_somae,120.7333,22.4167
Huperzia_javanica,120.733302,23.504474
Huperzia_javanica,120.73333,22.4
Huperzia_javanica,120.733333,22.416667
Huperzia_somae,120.733333,22.416667
Huperzia_javanica,120.736944,23.063889
Huperzia_javanica,120.737529,23.51611
Huperzia_javanica,120.737745,23.718589
Huperzia_javanica,120.74,22.61
Huperzia_quasipolytrichoides,120.74,22.61
Huperzia_quasipolytrichoides,120.74,22.62
Huperzia_javanica,120.742113,22.496909
Huperzia_quasipolytrichoides,120.742778,22.618889
Huperzia_quasipolytrichoides,120.744722,22.611389
Huperzia_javanica,120.746019,23.505278
Huperzia_quasipolytrichoides,120.748333,22.625
Huperzia_quasipolytrichoides,120.748611,22.625278
Huperzia_javanica,120.749167,23.081944
Huperzia_javanica,120.75,22.42
Huperzia_somae,120.75,24.4333
Huperzia_javanica,120.75,24.433333
Huperzia_somae,120.75,24.433333
Huperzia_javanica,120.751042,22.563475
Huperzia_javanica,120.751111,23.080833
Huperzia_javanica,120.752222,22.623611
Huperzia_javanica,120.752222,22.630556
Huperzia_quasipolytrichoides,120.752222,22.630556
Huperzia_javanica,120.753339,23.423908
Huperzia_javanica,120.759514,23.539681
Huperzia_somae,120.759797,23.533201
Huperzia_somae,120.7598,23.5332
Huperzia_javanica,120.762477,23.595679
Huperzia_javanica,120.7625,22.408889
Huperzia_javanica,120.766637,22.514975
Huperzia_javanica,120.766667,22.4
Huperzia_javanica,120.76667,22.4
Huperzia_javanica,120.770833,23.086389
Huperzia_javanica,120.771503,22.573419
Huperzia_javanica,120.771667,22.396667
Huperzia_javanica,120.772046,23.577838
Huperzia_javanica,120.776781,23.636693
Huperzia_javanica,120.776944,22.434444
Huperzia_javanica,120.776977,23.476208
Huperzia_javanica,120.777401,23.433
Huperzia_javanica,120.78,22.691389
Huperzia_javanica,120.78,23.62
Huperzia_quasipolytrichoides,120.781506,23.529905
Huperzia_selago,120.7819,23.7878
Huperzia_javanica,120.781944,22.410556
Huperzia_javanica,120.781944,23.787778
Huperzia_selago,120.781944,23.787778
Huperzia_javanica,120.782206,22.473549
Huperzia_javanica,120.782392,23.463113
Huperzia_somae,120.7833,23.5
Huperzia_somae,120.7833,23.5333
Huperzia_somae,120.7833,23.6167
Huperzia_somae,120.7833,23.6333
Huperzia_somae,120.78333,23.5
Huperzia_somae,120.78333,23.53333
Huperzia_javanica,120.78333,23.58333
Huperzia_somae,120.78333,23.61667
Huperzia_somae,120.783333,23.533333
Huperzia_quasipolytrichoides,120.783333,23.633333
Huperzia_somae,120.783333,23.633333
Huperzia_javanica,120.784444,23.651667
Huperzia_quasipolytrichoides,120.785228,23.529639
Huperzia_javanica,120.785504,23.490514
Huperzia_javanica,120.786297,23.438308
Huperzia_javanica,120.786389,23.670556
Huperzia_javanica,120.786667,23.64
Huperzia_javanica,120.786676,23.63778
Huperzia_javanica,120.789135,23.512609
Huperzia_javanica,120.792222,23.677778
Huperzia_javanica,120.792848,22.401488
Huperzia_somae,120.793056,23.64
Huperzia_somae,120.7931,23.64
Huperzia_somae,120.7938,23.6212
Huperzia_somae,120.793889,23.514167
Huperzia_somae,120.7939,23.5142
Huperzia_javanica,120.796071,23.513603
Huperzia_javanica,120.796467,22.579782
Huperzia_somae,120.797863,23.536662
Huperzia_somae,120.797875,23.536547
Huperzia_javanica,120.79846,22.502133
Huperzia_somae,120.7997,23.5467
Huperzia_javanica,120.799722,23.546667
Huperzia_somae,120.799722,23.546667
Huperzia_javanica,120.8,23.1
Huperzia_somae,120.8,23.55
Huperzia_javanica,120.8,24.5
Huperzia_javanica,120.804296,23.370053
Huperzia_javanica,120.805432,24.217779
Huperzia_somae,120.8058,23.5361
Huperzia_somae,120.805833,23.536111
